date,ticker,low,high,open,close
20060814,GOOG,368.67,375.13,371.5,369.43
20060815,GOOG,372.6,381.6699,374.11,380.97
20060816,GOOG,382.12,388.45,383.48,387.72
20060817,GOOG,383.92,390,386.39,385.8
20060818,GOOG,380.75,387.09,386.31,383.36
20060821,GOOG,375.22,379,378.1,377.3
20060822,GOOG,374.84,379.26,377.734,378.29
20060823,GOOG,372.66,378.27,377.64,373.43
20060824,GOOG,372.26,376.4,374.44,373.73
20060825,GOOG,372.5,375.32,373.08,373.26
20060828,GOOG,375,380.95,375.61,380.95
20060829,GOOG,377.2,382.32,380.78,378.95
20060830,GOOG,378.51,384.65,379.21,380.75
20060831,GOOG,378.2,382.15,381.494,378.53
20060901,GOOG,377.19,381.28,380.995,378.6
20060905,GOOG,377.44,385.4,379.87,384.36
20060906,GOOG,379.66,383.19,382.1,380.14
20060907,GOOG,377.4,381.75,379.39,378.49
20060908,GOOG,376.72,380.79,376.72,377.85
20060911,GOOG,377.77,384.69,378.26,384.09
20060912,GOOG,384.88,392.73,385,391.9
20060913,GOOG,395.1,406.76,395.15,406.57
20060914,GOOG,401.93,406.28,404.3,403.98
20060915,GOOG,406.74,410.05,407.48,409.88
20060918,GOOG,409.47,418.69,410,414.69
20060919,GOOG,392.74,415.49,415.46,403.81
20060920,GOOG,394.62,407.39,407.1,397
20060921,GOOG,399.86,408.45,400.3,406.85
20060922,GOOG,401.36,407.45,404.98,403.78
20060925,GOOG,402.5,409.45,405.58,403.98
20060926,GOOG,401.77,407.68,405.5,406.87
20060927,GOOG,402.37,411.22,406.3,402.92
20060928,GOOG,400.54,406.98,404.08,403.58
20060929,GOOG,401.41,405.62,405.125,401.9
20061002,GOOG,400.8,406,401.9,401.44
20061003,GOOG,398.19,406.46,401.29,404.04
20061004,GOOG,403.05,415.77,404.97,415.7
20061005,GOOG,410.86,418.24,414.7,411.81
20061006,GOOG,409.7501,421.91,410.22,420.5
20061009,GOOG,423.42,431.95,424.8,429
20061010,GOOG,422.39,437.85,431.56,426.65
20061011,GOOG,423.76,429.91,425.02,426.5
20061012,GOOG,424,429.68,428.56,427.44
20061013,GOOG,425.56,429.5,427.76,427.3
20061016,GOOG,421.34,429.2,427.7,421.75
20061017,GOOG,416.702,423.75,420.3,420.64
20061018,GOOG,417.5,424.75,422.995,419.31
20061019,GOOG,419.57,454.91,420.23,426.06
20061020,GOOG,453.59,460.1,458.99,459.67
20061023,GOOG,460.37,484.64,462.28,480.78
20061024,GOOG,471.41,477.86,476.28,473.31
20061025,GOOG,475.11,488.5,477.435,486.601
20061026,GOOG,484.2,491.96,487.68,485.1
20061027,GOOG,472.49,485.24,483.901,475.2
20061030,GOOG,470.01,480.46,474.82,476.57
20061031,GOOG,473.84,482.16,478.06,476.39
20061101,GOOG,465.26,479.13,478.755,467.5
20061102,GOOG,466.38,473.73,467.5,469.91
20061103,GOOG,465.0615,473.75,472.23,471.798
20061106,GOOG,472.33,479.66,473.77,476.95
20061107,GOOG,471.77,479.02,476.955,472.57
20061108,GOOG,468.6,481.74,470.35,475
